
[32;1m NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName[0m
[32;1m ------    -----      -----     ------      --  -- -----------[0m
     21    10.93      16.07       0.00    1096   0 svchost
     13     2.80       9.93       0.00    1144   0 svchost
     15     3.88      10.75       0.00    1344   0 svchost
      7     1.31       4.94       0.00    1356   0 svchost
     13     1.74       6.85       0.00    1376   0 svchost
      9     1.58      10.12       0.00    1400   0 svchost
     19     2.52      10.40       0.00    1408   0 svchost
     13     2.45       9.61       0.00    1432   0 svchost
      8     1.16       5.08       0.00    1544   0 svchost
      9     2.04      11.09       0.00    1612   0 svchost
     12     2.67       7.92       0.00    1680   0 svchost
     13     2.06       6.10       0.00    1704   0 svchost
      9     1.94       6.87       0.00    1716   0 svchost
     12     2.29      10.51       0.00    1756   0 svchost
     15     2.21       9.04       0.00    1836   0 svchost
     12     2.90      11.57       0.00    1868   0 svchost
     14    14.38      14.01       0.00    1980   0 svchost
     15    10.73      17.05       0.00    2036   0 svchost
     29     7.29       9.89       0.00    2116   0 svchost
     10     2.38       7.42       0.00    2212   0 svchost
     23     8.33      33.43       2.86    2220   1 svchost
     17     5.54      12.54       0.00    2348   0 svchost
     17     6.18      14.64       0.00    2428   0 svchost
     10     1.92       9.26       0.00    2440   0 svchost
     12     3.12       8.97       0.00    2496   0 svchost
     14     6.02      13.00       0.00    2596   0 svchost
      7     1.28       5.61       0.00    2604   0 svchost
     12     3.02      13.62       0.00    2612   0 svchost
      9     1.63       6.63       0.00    2708   0 svchost
     10     2.23       7.92       0.00    2740   0 svchost
      9     1.79       7.19       0.00    2744   0 svchost
     12     3.89      11.25       0.00    2812   0 svchost
     10     2.15       9.64       0.00    2848   0 svchost
     10     2.13       7.23       0.00    2928   0 svchost
     10     2.59      10.47       0.00    3008   0 svchost
     14     3.98       8.68       0.00    3096   0 svchost
      8     1.46       6.47       0.00    3128   0 svchost
     32    16.95      21.68       0.00    3192   0 svchost
     26     4.26      13.25       0.00    3228   0 svchost
     11     1.76       6.21       0.00    3284   0 svchost
     15     2.99       9.54       0.00    3292   0 svchost
      9     1.61       7.00       0.00    3356   0 svchost
      7     1.55       5.76       0.00    3468   0 svchost
     13     2.39      10.06       0.00    3540   0 svchost
     10     8.18      15.83       0.00    3564   0 svchost
     15    10.62       9.24       0.00    3580   0 svchost
     10     1.88       7.71       0.00    3588   0 svchost
     22     6.38      17.27       0.00    3660   0 svchost
     14     2.24      11.79       0.00    3692   0 svchost
     11     2.04       7.62       0.00    3744   0 svchost
     14     2.24       8.43       0.00    3804   0 svchost
     24     2.86       8.62       0.00    3840   0 svchost
     16     3.90      22.67       1.56    3900   1 svchost
     28    21.01      36.88       0.00    4124   0 svchost
     22    45.80      30.29       0.00    4136   0 svchost
     17     2.97      10.17       0.00    4304   0 svchost
      9     1.52       6.58       0.00    4312   0 svchost
      7     1.23       5.42       0.00    4404   0 svchost
      9     1.59       6.11       0.00    4412   0 svchost
     18     4.45      19.33       0.00    4420   0 svchost
      7     1.27       5.05       0.00    4596   0 svchost
     12     2.32       8.76       0.00    4728   0 svchost
     24     3.47      11.60       0.00    4992   0 svchost
     16     2.85       8.41       0.00    5724   0 svchost
     21    13.03      26.64      11.41    5832   1 svchost
     12     3.51      15.18       0.00    6284   0 svchost
     20     6.05      16.77       0.00    6536   0 svchost
     12     4.48      13.62       0.00    6576   0 svchost
     12     2.81      11.13       0.00    6772   0 svchost
      8     1.48       6.57       0.00    6832   0 svchost
      8     1.68       7.14       0.00    7188   0 svchost
      9     1.77       7.52       0.00    7276   0 svchost
     24     5.47      19.30       0.00    7504   0 svchost
     11     2.20       8.14       0.00    7624   0 svchost
     12     2.10       8.99       0.00    7956   0 svchost
     12     2.41      10.23       0.00    8012   0 svchost
     15     5.99       9.06       0.00    8112   0 svchost
     15     3.61      13.45       0.00    8632   0 svchost
     12     2.42       9.44       0.00    8940   0 svchost
      7     1.15       5.48       0.00    9088   0 svchost
     25     8.17      16.95       0.00    9936   0 svchost
     11     2.46      10.54       0.00   12544   0 svchost
     13     4.90      10.09       0.00   12856   0 svchost
     14     3.21      10.91       0.00   14628   0 svchost
     25     5.26      19.94       0.94   14692   1 svchost
      7     1.36       6.66       0.00   15764   0 svchost
      0     0.20       4.98       0.00       4   0 System
     47    25.28       1.92       1.47    6232   1 SystemSettings
     28     6.23      15.89       1.31    6760   1 taskhostw
     30    26.27      66.09      39.06   10044   1 TextInputHost
     12     2.10       9.67       0.09   10360   1 ttpmenu
      8     1.51       7.43       0.00    5400   0 unsecapp
     10     2.18       9.22       0.17    6240   1 UserOOBEBroker
      8    12.58       5.39       0.03    8076   1 vagrant
      4     1.14       6.91       0.17     244   1 VBoxHeadless
      4     1.98       4.82       0.20    2864   1 VBoxHeadless
     36 1,121.17   1,031.38   2,610.94   15604   1 VBoxHeadless
     10     2.03       9.64       0.00   14120   0 VBoxSDS
     18     9.30      19.35     108.09   10720   1 VBoxSVC
     22    70.95      60.09      20.14    9704   1 VirtualBox
      8     1.78       9.18       0.00    5696   0 vmcompute
     23    39.50      29.29       0.00    2124   0 vmms
     11     1.50       6.11       0.00     760   0 wininit
     13     2.73      10.91       0.00     856   1 winlogon
      8     1.46       7.24       0.00    5304   0 wlanext
     14     3.93      11.63       0.00     608   0 WUDFHost
     49    31.90      60.26       2.66    9468   1 YourPhone

