
[32;1m NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName[0m
[32;1m ------    -----      -----     ------      --  -- -----------[0m
     24     2.81       8.60       0.00    3840   0 svchost
     16     3.91      22.67       1.61    3900   1 svchost
     28    21.07      37.07       0.00    4124   0 svchost
     28    46.77      37.04       0.00    4136   0 svchost
     17     3.02      10.17       0.00    4304   0 svchost
      9     1.47       6.57       0.00    4312   0 svchost
      7     1.23       5.42       0.00    4404   0 svchost
      9     1.54       6.09       0.00    4412   0 svchost
     18     4.38      19.12       0.00    4420   0 svchost
      7     1.22       5.04       0.00    4596   0 svchost
     11     2.21       8.73       0.00    4728   0 svchost
     24     3.41      11.58       0.00    4992   0 svchost
     15     2.74       8.39       0.00    5724   0 svchost
     20    13.00      26.69      11.91    5832   1 svchost
     12     3.51      15.20       0.00    6284   0 svchost
     19     6.10      16.79       0.00    6536   0 svchost
     12     4.48      13.63       0.00    6576   0 svchost
     12     2.85      11.16       0.00    6772   0 svchost
      8     1.43       6.56       0.00    6832   0 svchost
      8     1.58       7.11       0.00    7188   0 svchost
      9     1.71       7.50       0.00    7276   0 svchost
     24     5.42      19.29       0.00    7504   0 svchost
     11     2.12       8.13       0.00    7624   0 svchost
     11     2.04       8.98       0.00    7956   0 svchost
     12     2.32      10.21       0.00    8012   0 svchost
     14     5.93       9.05       0.00    8112   0 svchost
     15     3.61      13.46       0.00    8632   0 svchost
     11     2.37       9.43       0.00    8940   0 svchost
      7     1.09       5.46       0.00    9088   0 svchost
     11     2.41      10.53       0.00   12544   0 svchost
     12     4.80      10.07       0.00   12856   0 svchost
      8     1.52       7.98       0.00   14176   0 svchost
     14     3.21      10.91       0.00   14628   0 svchost
     25     5.33      19.98       0.94   14692   1 svchost
      7     1.31       6.64       0.00   15764   0 svchost
     12     2.67      12.42       0.00   18264   0 svchost
      0     0.20       4.98       0.00       4   0 System
     47    25.28       1.92       1.47    6232   1 SystemSettings
     28     6.19      15.95       1.33    6760   1 taskhostw
     37    32.31      81.72      41.77   10044   1 TextInputHost
     11     2.03       9.65       0.09   10360   1 ttpmenu
      8     1.51       7.42       0.00    5400   0 unsecapp
     10     2.12       9.20       0.17    6240   1 UserOOBEBroker
      8    12.55       5.38       0.03    8076   1 vagrant
      4     1.11       6.90       0.17     244   1 VBoxHeadless
      4     1.95       4.80       0.20    2864   1 VBoxHeadless
     36 1,121.17   1,031.41   2,641.36   15604   1 VBoxHeadless
     10     2.00       9.62       0.00   14120   0 VBoxSDS
     17     9.25      19.32     108.09   10720   1 VBoxSVC
     22    70.94      60.09      20.58    9704   1 VirtualBox
      8     1.78       9.18       0.00    5696   0 vmcompute
     23    39.50      29.30       0.00    2124   0 vmms
     11     1.42       6.10       0.00     760   0 wininit
     12     2.73      10.91       0.00     856   1 winlogon
      8     1.44       7.23       0.00    5304   0 wlanext
     14     3.91      11.62       0.00     608   0 WUDFHost
     49    31.90      57.74       2.66    9468   1 YourPhone

